property_id,full_address,address_line1,address_line2,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,features,tax_assessments,property_taxes,lot_size,assessor_id,legal_description,subdivision,owner,owner_occupied
"7601-Rialto-Blvd,-Austin,-TX-78735","7601 Rialto Blvd, Austin, TX 78735",7601 Rialto Blvd,,Austin,TX,48,78735,Travis,453,30.251558,-97.871263,Apartment,1.0,1.0,754.0,2002.0,,,,,,,,,
"15510-Ranch-Road-620-Rd,-Austin,-TX-78717","15510 Ranch Road 620 Rd, Austin, TX 78717",15510 Ranch Road 620 Rd,,Austin,TX,48,78717,Williamson,491,30.485601,-97.736289,Apartment,,,,2008.0,,,,,,,,,
"8701-Bluffstone-Cv,-Austin,-TX-78759","8701 Bluffstone Cv, Austin, TX 78759",8701 Bluffstone Cv,,Austin,TX,48,78759,Travis,453,30.390953,-97.763931,Apartment,1.0,1.0,737.0,1998.0,,,,,,,,,
"2900-Sunridge-Dr,-Austin,-TX-78741","2900 Sunridge Dr, Austin, TX 78741",2900 Sunridge Dr,,Austin,TX,48,78741,Travis,453,30.22146,-97.72628,Apartment,,,,2001.0,,,,,,,,,
"8617-Spicewood-Springs-Rd,-Austin,-TX-78759","8617 Spicewood Springs Rd, Austin, TX 78759",8617 Spicewood Springs Rd,,Austin,TX,48,78759,Williamson,491,30.433632,-97.77492,Apartment,,,,1987.0,,,,,,,,,
"8519-Cahill-Dr,-Austin,-TX-78729","8519 Cahill Dr, Austin, TX 78729",8519 Cahill Dr,,Austin,TX,48,78729,Williamson,491,30.444022,-97.773271,Apartment,1.0,1.0,411.0,1986.0,,,,,,,,,
"8715-W-Hwy,-71,-Austin,-TX-78735","8715 W Hwy, 71, Austin, TX 78735",8715 W Hwy,71,Austin,TX,48,78735,Travis,453,30.250246,-97.895958,Apartment,1.0,1.0,795.0,2015.0,,,,,,,,,
"4100-W-Slaughter-Ln,-Austin,-TX-78749","4100 W Slaughter Ln, Austin, TX 78749",4100 W Slaughter Ln,,Austin,TX,48,78749,Travis,453,30.189952,-97.85551,Apartment,1.0,1.0,661.0,2007.0,,,,,,,,,
"7201-S-Congress-Ave,-Austin,-TX-78745","7201 S Congress Ave, Austin, TX 78745",7201 S Congress Ave,,Austin,TX,48,78745,Travis,453,30.186695,-97.780556,Apartment,2.0,2.0,880.0,2003.0,,,,,,,,,
"11011-Domain-Dr,-Austin,-TX-78758","11011 Domain Dr, Austin, TX 78758",11011 Domain Dr,,Austin,TX,48,78758,Travis,453,30.39654,-97.72534,Apartment,0.0,1.0,602.0,2009.0,,,,,,,,,
"815-W-Slaughter-Ln,-Austin,-TX-78748","815 W Slaughter Ln, Austin, TX 78748",815 W Slaughter Ln,,Austin,TX,48,78748,Travis,453,30.172233,-97.806842,Apartment,,,,1999.0,,,,,,,,,
"8001-Highway,-71-W,-Austin,-TX-78736","8001 Highway, 71 W, Austin, TX 78736",8001 Highway,71 W,Austin,TX,48,78736,Travis,453,30.244458,-97.885005,Apartment,2.0,,,1985.0,,,,,,,,,
"1845-River-Crossing-Cir,-Austin,-TX-78741","1845 River Crossing Cir, Austin, TX 78741",1845 River Crossing Cir,,Austin,TX,48,78741,Travis,453,30.230324,-97.712433,Apartment,2.0,1.0,1076.0,,,,,,,,,,
"201-Lavaca-St,-Austin,-TX-78701","201 Lavaca St, Austin, TX 78701",201 Lavaca St,,Austin,TX,48,78701,Travis,453,30.265257,-97.746251,Apartment,1.0,1.0,856.0,2004.0,,,,,,,,,
"8405-Old-Bee-Caves-Rd,-Austin,-TX-78735","8405 Old Bee Caves Rd, Austin, TX 78735",8405 Old Bee Caves Rd,,Austin,TX,48,78735,Travis,453,30.250862,-97.88784,Apartment,2.0,2.0,1083.0,2001.0,,,,,,,,,
"1127-Pearl-Retreat-Ln,-Austin,-TX-78753","1127 Pearl Retreat Ln, Austin, TX 78753",1127 Pearl Retreat Ln,,Austin,TX,48,78753,Travis,453,30.39348,-97.651714,Apartment,1.0,1.0,629.0,2019.0,,,,,,,,,
"12101-N-Lamar-Blvd,-Austin,-TX-78753","12101 N Lamar Blvd, Austin, TX 78753",12101 N Lamar Blvd,,Austin,TX,48,78753,Travis,453,30.395239,-97.678959,Apartment,1.0,1.0,664.0,2018.0,,,,,,,,,
"2310-Wickersham-Ln,-Austin,-TX-78741","2310 Wickersham Ln, Austin, TX 78741",2310 Wickersham Ln,,Austin,TX,48,78741,Travis,453,30.228539,-97.72229,Apartment,1.0,1.0,644.0,1974.0,,,,,,,,,
"1717-Toomey-Rd,-Austin,-TX-78704","1717 Toomey Rd, Austin, TX 78704",1717 Toomey Rd,,Austin,TX,48,78704,Travis,453,30.26444,-97.762161,Apartment,1.0,1.0,646.0,2014.0,,,,,,,,,
